252148-17										3	针织	黑色,白色,卡其	L,XL,XXL,XXXL,4XL
TWS-10385											梭织	米黄色	XXS,XS,S,M,L,XL
TWS-10390											梭织	米黄色,蓝色	XXS,XS,S,M,L,XL
TWS-10407							面层花边65cm	底层花边90CM 长		12	针织	黑色,白色	XS,S,M,L
TWS-10409										5	梭织	黑色	XS,S,M,L
TWS-10414										6	梭织	黑色	XS,S,M,L,XL
TWS-10417										4	梭织	黑色,灰色	XS,S,M,L
TWS-10474							罗纹120*30			19	梭织	浅蓝色,蓝色,米黄色	XXS,XS,S,M,L,XL
TWS-10475							领罗纹6.5*48			7	梭织	浅蓝色,蓝色,米黄色	XXS,XS,S,M,L,XL
TWS-10476											梭织	浅蓝色,米黄色,蓝色	XXS,XS,S,M,L,XL
TWS-10477										13	梭织	浅蓝色,蓝色,米黄色	XXS,XS,S,M,L,XL
TWS-10478											梭织	浅蓝色,米黄色,蓝色	XXS,XS,S,M,L,XL
TWS-10496											梭织	白色	XXS,XS,S,M,L,XL
TWS-10497											梭织	白色	XXS,XS,S,M,L,XL
TWS-10498											梭织	白色	XXS,XS,S,M,L,XL
TWS-10499											梭织	白色	XXS,XS,S,M,L,XL
XH-AR002											针织	白色	S
XH-AR003											针织	棕色	M
XH-DX8803											针织	黑色,棕色,白色	XXS,XS,S,M,L,XL,2XL,3XL,4XL,5XL
XH-DY049A											针织	黑色	2XL
XH-S1708											针织	颜色1,颜色2,颜色3	S,M,L
XH-S1708A											针织	白色	XXS,XS,S,M,L,XL,2XL,3XL,4XL,5XL
XH-S1708B											针织	白色	XXS,XS,S,M,L,XL,2XL,3XL,4XL,5XL
XH-S3020											针织	花灰	XS,S,M,L,XL,2XL,3XL,4XL,5XL
XH-W0013											针织	黑色,纯黑,绿色,灰杏色,红色	S,L,XL
XH-W0169											针织	黑色,棕色	S
XH-W2406											针织	黑色,灰杏色,花灰,灰色	S,M,L
XH-W2406H											针织	颜色1,颜色2,颜色3	S,M,L
XH-W25316											针织	黑色	M
XH-W25532											针织	黑色	L
XH-W25533											针织	黑色	L
XH-W25536											针织	黑色	S
XH-W25537											针织	白色	L
XH-Y6311											针织	黑色	S
XH-Y6312											针织	黑色	L
XH1426						112*307	145*180				梭织	黄色	S,M,L,XL,2XL,3XL
XH1471						112*394				30	梭织	黑色,橙色	S,M,L,XL,2XL,3XL
XH1627						112*289	155*176		朴120*10	38	梭织	紫色	S,M,L,XL,2XL,3XL
XH1670D						112*352	145*43		朴120*40	41	梭织	浅蓝色,绿色	S,M,L,XL,2XL,3XL
XH1720						112*500	145*230		朴120*50	33	梭织	黑色	S,M,L,XL,2XL,3XL,4XL
XH1897							144*12	里布142*125	120*100	78	梭织	蓝色	XS,S,M,L,XL,2XL,3XL,4XL
XH20210105037						112*4.2				17	梭织	黑色	S,M,L,XL,2XL,3XL
XH2803D							160*36		120*20	25	梭织	蓝色	M
XH2818							145*189		120*0.1	36	梭织	黄色	S,M,L,XL,2XL,3XL
XH2911							112*260	170*50		9	梭织	橙色,棕色	S,M,L,XL
XH2932											针织	黑色	XXS,XS,S,M,L,XL,2XL,3XL,4XL,5XL
XH2933											针织	白色	XXS,XS,S,M,L,XL,2XL,3XL,4XL,5XL
XH2979S							170*0.062			7	针织	黄色,蓝色	M
XH2979T							170*0.062			7	针织	粉色	S,M,L,XL,2XL
XH3025J											梭织	绿色	S~L,XL~3XL
XH3025K											梭织	绿色	S,M,L,XL,XXL,XXXL
XH3038							120*25			20片	梭织	棕色,绿色	S,M,L,XL
XH3046A							145*110	120*32		28	梭织	粉色	XS,S,M,L,XL,2XL
XH3046C							145*110	120*32		28	梭织	黑色	S,M,L,XL,2XL
XH3046D							145*110	120*32		28	梭织	黑色	S,M,L,XL,2XL,3XL
XH3046J							145*110	120*32		28	梭织	黑色	S,M,L,XL,2XL,3XL
XH3092							里140*198				梭织	粉色	S,M,L,XL,2XL,3XL,4XL
XH3108J											梭织	米白	XS/S,M/L
XH3116									120*35	23	梭织	深卡其	XL
XH3119								罗纹165*3CM			针织	黑色	S,M,L,XL
XH3122J											梭织	灰棕	S
XH3128										10	针织	黑色	S,M,L,XL
XH3142							140*80		120*35	27	梭织	黄色	S,M,L,XL,2XL,3XL
XH3151K										7	梭织	黑色	S,M,L,XL
XH3151T										15	梭织	黑色	S,M,L,XL
XH3152											针织	白色	L
XH3154						138*124	160*47	145*102			梭织	牛仔蓝	10
XH3155							140*160		120*80	50	梭织	紫粉	S
XH3160S										5	针织	棕色	M
XH3160T										5	针织	白色	M
XH3161							里布145*131			41	梭织	白色	S
XH3162							里布145*146			29	梭织	颜色1,颜色2	S
XH3163									120*30	32	梭织	颜色1	XS/S
XH3164							145*139	蕾丝145*18		21			
XH3165										5			
XH3166										20			
XH3167K													
XH3167S													
XH3168										14			
XH3169K													
XH3169S													
XH3170													
XH3171													
XH3172													
XH3173													
XH3174							110*55CM	里布145*164CM		19			
XH3175													
XH3176													
XH3177													
XH3178													
XH3179													
XH3180Q													
XH3180S													
XH3181							里布145*103			17			
XH3182							里布145*88			8			
XH3183							里布145*128			13			
XH3184Q													
XH3184S													
XH3185													
XH3186													
XH3187													
XH3188K							140*15			11	针织	酒红色	M,L,XL,2XL
XH3188S													
XH3189											针织	酒红色	M,L,XL,2XL
XH3190													
XH3191Q													
XH3191S													
XH3192							里布145*48			7	梭织		
XH3193													
XH3194													
XH3195J													
XH3195Q													
XH3196													
XH3197													
XH3198											梭织	白色	M
XH3199													
XH3200K													
XH3200S													
XH3201													
XH3202													
XH3203							里布145*132			19	梭织		
XH3204													
XH3205J													
XH3205K													
XH3206							140*112		120*134	56	梭织	黑色	XS,S,M,L,XL,2XL,1XL
XH3207S											针织	蓝色	S
XH3207T											针织	浅灰	S
XH3208											针织	颜色1	M
XH3209											梭织	紫色	M
XH406J											梭织	紫色	S,M,L,XL,2XL,3XL
XH406K											梭织	紫色	S,M,L,XL,2XL,3XL
XL2101081						112*444				17	梭织	绿色,橙色,蓝色	S,M,L,XL,2XL
XQ016						112*175					梭织	蜡布白底迷彩圆涤布,蜡布绿圆涤布,深绿色,深黄绿,黄底蓝条,蓝色底印花,颜色1,白底叶子,黄底红园	S,M,L,XL,XXL,XXXL,4XL
XQ028						112*380				7	梭织	蜡布白底迷彩圆涤布,蜡布新迷彩圆涤布,蜡布绿圆涤布,蜡布新蓝圆涤布,深蓝黑底印花,橙绿肯特,图形印花,蜡布  菱形印花,颜色1,颜色2	S,M,L,XL,XXL
XQ045											梭织	红底白花,紫色肯特,黄绿黑肯特,蜡布 新肯特花,橙绿肯特	S,M,L,XL,XXL
XQ067						112*154	145*41			23	梭织	红色乱条印花,黄底印花,黑撞黄红肯特,黑撞紫色肯特,橙绿肯特,黑撞黄绿黑肯特,黑撞橘色肯特	S,M,L,XL,XXL
XQ068						112*313				13	梭织	蜡布红叶子,蜡布绿圆涤布,黄底印花,浅蓝色,深蓝底彩花,深蓝撞红色,紫黄肯特,橘色肯特,黄绿黑肯特,白底叶子,黄底红园,红底贝壳,蜡布  菱形印花,蜡布 新肯特花,正方形印花,白底蓝	S,M,L,XL,XXL,XXXL,4XL
XQ123						112*227				4	梭织	绿色,绿底印花,深蓝底印花,白底绿条,藏蓝底印花	S,M,L,XL,XXL,XXXL,4XL
XQTJ001头巾										1	梭织	蜡布红叶子,蜡布白底迷彩圆涤布,蜡布新迷彩圆涤布,蜡布绿圆涤布,红底黑格,绿色,黄色,米白,绿底印花,黄底印花,橙色,深绿色,浅蓝色,黄底蓝条,蓝色底印花,颜色1,颜色2,颜色3,颜色4,颜色5,蜡布~黄绿肯特（棉）,深蓝撞红色,紫色肯特,橙绿肯特,黄绿黑肯特,黄底红园,白底绿条,蜡布   水滴印花,蜡布  菱形印花,蜡布 新肯特花,宝蓝底彩花,深蓝黑底印花,大红底印花,藏蓝底印花,红色乱条印花,橙色大花	通码
YOU220210							112*2.94			19	梭织	肯特花蜡布橙色,蜡布白底迷彩圆涤布,蜡布新迷彩圆涤布,浅蓝底印花	S,M,L,XL,XXL,3XL,4XL
YQ102											梭织	蜡布白底迷彩圆涤布	S,M,L,XL,XXL
YQ262										11	梭织	蜡布白底迷彩圆涤布,蜡布新迷彩圆涤布,蜡布绿圆涤布,蓝底贝壳,红底贝壳,橙色花	S,M,L,XL,XXL
YQ265										8	梭织	蜡布白底迷彩圆涤布,蜡布新迷彩圆涤布,蜡布绿圆涤布,紫色肯特,蓝底贝壳,红底贝壳,绿色	S,M,L,XL,XXL
YQ267									112*30	15	梭织	蜡布白底迷彩圆涤布,蜡布新迷彩圆涤布,蜡布绿圆涤布,黄底红园,蜡布  菱形印花,波浪印花	S,M,L,XL,XXL
YQ270									120*25	16	梭织	迷彩园蜡布绿色,迷彩园蜡布橙色,蜡布蓝圆涤布,蜡布白底迷彩圆涤布,绿色,藕粉底印花,黄色底花,黄底红园,蜡布   水滴印花,蜡布  菱形印花,正方形印花,波浪印花,黄金叶子,紫色	S,M,L,XL,XXL
YQ289										24	梭织	随机色	XS,S,M,L,XL,2XL,3XL,4XL,5XL
YQ328							160*47			16	梭织	颜色1	S,M,L,XL,XXL
YQ339										14	梭织	颜色1,黑撞紫色肯特,蜡布 新肯特花,黄绿黑肯特	S,M,L,XL,XXL
YQ341										4	梭织	颜色1	S,M,L,XL,XXL
YQ344										10	梭织	颜色1	S,M,L,XL,XXL
YQ345										11	梭织	颜色1	S,M,L,XL,XXL
YQ349											梭织	颜色1	S,M,L,XL,XXL
YQ350											梭织	颜色1	S,M,L,XL,XXL
YZ281						112*3.00					梭织	绿色条条印花,蜡布白底迷彩圆涤布,蜡布绿圆涤布,绿色,黄色,粉色底花,绿底印花,黄底蓝条,宝蓝底彩花,颜色1,颜色2,黄绿黑肯特,黄底红园,白底绿条,蜡布  菱形印花,蜡布 新肯特花,蓝色大叶子,橙绿肯特	S,M,L,XL,XXL,XXXL,4XL
ZE048							130*0.03			5	针织	白色	L
ZE057							里布145*195cm	朴145*68cm		44	针织	棕色	M
ZE058									120*35	16	针织	棕色	
ZE079							135*25			12	针织	黑色	S
ZE080												白色	L
ZE086							面料B兰色180*3CM	面料C白色176*5		18			
ZE090													
ZE091													
ZE092											针织	绿色	L
ZE093											针织	黑色	M
ZE094											针织	黑色	XL
ZE095											针织	粉色	L
ZFF00102											针织	杏色,黑色,藏蓝,咖啡色,灰色	L,XL,XXL,XXXL,4XL
ZH021						112*229				10	梭织	蜡布白底迷彩圆涤布,蜡布新迷彩圆涤布,蜡布绿圆涤布,绿底印花,蓝色底印花,颜色1,深蓝撞红色,黄绿黑肯特,白底叶子,图形印花,黄底红园,蓝底贝壳,蜡布   水滴印花,蜡布  菱形印花,棕底印花,宝蓝底彩花,深蓝黑底印花,红色乱条印花	S,M,L,XL,XXL,XXXL,4XL
ZH099						112*222				8	梭织	蜡布白底迷彩圆涤布,蜡布新迷彩圆涤布,蜡布绿圆涤布,蜡布红圆涤布,粉色底花,黄底印花,棕底白点,深绿色,黄底蓝条,颜色1,颜色2,橙绿肯特,白底叶子,黄底红园,蓝底贝壳,蜡布   水滴印花,蜡布 新肯特花	S,M,L,XL,XXL
ZH100						112*222				8	梭织	红色印花	S,M,L,XL,XXL
ZH101						112*283				6	梭织	蜡布白底迷彩圆涤布,蜡布绿圆涤布,红底黑格,绿底印花,浅蓝色,深蓝/咖格子,红底绿,黄黑格子,颜色1,颜色2,颜色3,紫色字母印花,深蓝撞红色,橙黄,橙绿肯特,黄绿黑肯特,蜡布   水滴印花,蜡布 新肯特花,波浪印花,紫色花朵,蓝色字母,藏蓝底印花	S,M,L,XL,XXL,3XL,4XL,5XL
ZMJ015											针织	黑色	S,M,L,XL
